epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4813,3.50081,48.4396,1.32897,0,0,0,0,3.92915,14.2401,1.07178,0.0002,0.0002,0.0002
2,45.6376,4.07663,29.0255,1.65222,0,0,0,0,3.7321,12.0507,1.00498,0.000411684,0.000411684,0.000411684
3,66.9967,3.62523,21.2722,1.07295,0,0,0,0,3.48845,11.1024,0.99662,0.000614656,0.000614656,0.000614656
4,89.521,3.50786,14.5033,1.12786,0,0,0,0,3.1724,10.9248,0.98079,0.000808916,0.000808916,0.000808916
5,111.738,3.46307,13.6859,1.16259,0,0,0,0,3.53726,12.4199,1.01017,0.000994464,0.000994464,0.000994464
6,133.663,3.40713,11.2116,0.96005,0.00053,0.125,0.00035,0.00014,3.22172,11.0476,0.98498,0.0011713,0.0011713,0.0011713
7,154.749,3.3598,13.0687,1.01203,0.00013,0.03125,7e-05,1e-05,3.32958,9.29376,0.98063,0.00133942,0.00133942,0.00133942
8,176.432,3.49792,10.3193,1.10258,0,0,0,0,3.148,9.12949,0.97499,0.00149884,0.00149884,0.00149884
9,197.834,3.21376,8.59777,1.01024,0.00027,0.0625,0.00016,6e-05,3.47528,8.98566,1.02113,0.00164954,0.00164954,0.00164954
10,220.462,3.14989,10.3407,1.02294,0.00133,0.3125,0.0188,0.00554,3.65999,8.5989,1.01279,0.0016436,0.0016436,0.0016436
11,267.665,3.22447,9.53169,1.09271,1,0.08052,0.23081,0.04709,3.19572,7.29719,0.9833,0.001604,0.001604,0.001604
12,289.353,3.06286,8.98597,1.07774,0.58544,0.17726,0.28186,0.09485,2.877,5.79604,0.94608,0.0015644,0.0015644,0.0015644
13,309.62,3.01205,7.79936,1.19949,0.52271,0.25,0.29851,0.09904,2.90373,6.05964,0.94165,0.0015248,0.0015248,0.0015248
14,329.618,3.03583,7.76851,1.0221,0.55231,0.34375,0.33803,0.09223,2.86125,6.10183,0.937,0.0014852,0.0014852,0.0014852
15,349.783,3.06192,7.58438,1.24889,0.79792,0.375,0.37825,0.12303,2.83385,6.27958,0.94531,0.0014456,0.0014456,0.0014456
16,369.915,2.99149,6.27787,1.11898,0.85614,0.37216,0.39709,0.1235,2.97139,6.59473,0.96495,0.001406,0.001406,0.001406
17,390.117,3.08233,7.47389,1.13499,0.46097,0.37418,0.32763,0.10933,2.99341,5.73774,0.96472,0.0013664,0.0013664,0.0013664
18,410.445,2.74861,6.45907,1.0937,0.44983,0.375,0.33342,0.12272,2.76223,5.35492,0.94801,0.0013268,0.0013268,0.0013268
19,430.555,2.67688,6.32256,1.04411,0.52932,0.40625,0.41367,0.12991,2.77026,5.20359,0.9475,0.0012872,0.0012872,0.0012872
20,451.053,2.81023,6.11565,1.02378,0.54794,0.40625,0.30635,0.06698,2.86451,5.22989,0.97314,0.0012476,0.0012476,0.0012476
21,472.225,2.85563,5.71323,1.03727,0.35054,0.3125,0.14497,0.04182,2.86899,5.25441,0.99365,0.001208,0.001208,0.001208
22,492.62,2.8266,6.7446,1.06888,0.27014,0.28125,0.11696,0.0466,2.99039,5.54325,1.01672,0.0011684,0.0011684,0.0011684
23,514.278,2.84821,6.03424,0.92371,0.35354,0.3125,0.21825,0.08706,2.60239,5.21315,0.95932,0.0011288,0.0011288,0.0011288
24,535.433,2.60118,5.94777,0.96075,0.37232,0.3125,0.22965,0.10266,2.64799,5.03201,0.95897,0.0010892,0.0010892,0.0010892
25,556.323,2.5834,5.5068,0.93024,0.32515,0.3125,0.20747,0.08545,2.80355,4.76573,0.96555,0.0010496,0.0010496,0.0010496
26,576.658,2.6985,5.77243,1.03205,0.38015,0.34375,0.23858,0.10063,2.75618,4.58019,0.95132,0.00101,0.00101,0.00101
