epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5345,3.11729,96.2035,1.24485,0.00069,0.02817,0.00036,8e-05,3.65203,43.5619,1.10565,0.0003,0.0003,0.0003
2,156.221,3.51044,20.2258,1.17993,0.68275,0.11268,0.11486,0.02336,3.58898,5.82462,1.08687,0.00061628,0.00061628,0.00061628
3,234.518,3.30362,7.45832,1.05849,0.54551,0.22535,0.20125,0.04289,3.67521,5.39589,1.06288,0.00092872,0.00092872,0.00092872
4,310.292,3.55506,4.68345,0.99613,0.25891,0.26761,0.13765,0.02816,3.52064,11.0476,1.05368,0.00123732,0.00123732,0.00123732
5,385.403,3.0496,4.56663,0.94724,0.35202,0.23944,0.15236,0.04006,3.22826,5.72718,0.98803,0.00154208,0.00154208,0.00154208
6,463.232,3.37206,5.91832,1.0106,0.0261,0.28169,0.01224,0.00308,3.16408,188.644,0.97458,0.001843,0.001843,0.001843
7,591.012,3.16027,3.14858,0.96689,0.58762,0.25352,0.24295,0.0658,3.25926,2.90114,0.99337,0.001928,0.001928,0.001928
8,667.938,3.50349,3.27364,1.035,0.62659,0.28169,0.30008,0.08018,3.03107,2.64428,0.95714,0.001916,0.001916,0.001916
9,891.417,2.97541,2.63912,0.98629,0.61225,0.30986,0.34237,0.08949,2.90904,2.03816,0.9424,0.001904,0.001904,0.001904
10,1010.02,3.05874,3.13849,1.02106,0.75779,0.35211,0.35345,0.09766,2.96719,2.48706,0.94439,0.001892,0.001892,0.001892
11,1137.45,2.95589,2.67522,0.93497,0.51742,0.35211,0.28764,0.0805,2.91193,3.61236,0.95274,0.00188,0.00188,0.00188
12,1355.02,3.0103,2.21527,0.99751,0.64608,0.29577,0.28719,0.07899,3.05819,2.14856,0.95266,0.001868,0.001868,0.001868
13,1431.8,2.96515,2.50755,0.96828,0.45708,0.29577,0.25433,0.0601,3.16453,2.36608,0.99058,0.001856,0.001856,0.001856
