frame_number,timestamp_seconds,timestamp_minutes,timestamp_formatted,num_bees,video_name,period,max_confidence,avg_confidence,min_confidence
0,0.0,0.0,00:00,0,P1000471.MP4,morning,0.0,0.0,0.0
1798,29.996633333333335,0.4999438888888889,00:29,0,P1000471.MP4,morning,0.0,0.0,0.0
3596,59.99326666666667,0.9998877777777778,00:59,0,P1000471.MP4,morning,0.0,0.0,0.0
5394,89.9899,1.4998316666666667,01:29,0,P1000471.MP4,morning,0.0,0.0,0.0
7192,119.98653333333334,1.9997755555555556,01:59,0,P1000471.MP4,morning,0.0,0.0,0.0
8990,149.98316666666668,2.4997194444444446,02:29,1,P1000471.MP4,morning,0.6065648198127747,0.6065648198127747,0.6065648198127747
10788,179.9798,2.9996633333333333,02:59,0,P1000471.MP4,morning,0.0,0.0,0.0
12586,209.97643333333335,3.4996072222222225,03:29,1,P1000471.MP4,morning,0.26949331164360046,0.26949331164360046,0.26949331164360046
14384,239.97306666666668,3.9995511111111113,03:59,0,P1000471.MP4,morning,0.0,0.0,0.0
16182,269.9697,4.499495,04:29,0,P1000471.MP4,morning,0.0,0.0,0.0
17980,299.96633333333335,4.999438888888889,04:59,0,P1000471.MP4,morning,0.0,0.0,0.0
19778,329.96296666666666,5.499382777777778,05:29,0,P1000471.MP4,morning,0.0,0.0,0.0
21576,359.9596,5.999326666666667,05:59,0,P1000471.MP4,morning,0.0,0.0,0.0
23374,389.95623333333333,6.499270555555555,06:29,0,P1000471.MP4,morning,0.0,0.0,0.0
25172,419.9528666666667,6.999214444444445,06:59,0,P1000471.MP4,morning,0.0,0.0,0.0
26970,449.9495,7.499158333333333,07:29,1,P1000471.MP4,morning,0.25578492879867554,0.25578492879867554,0.25578492879867554
28768,479.94613333333336,7.999102222222223,07:59,0,P1000471.MP4,morning,0.0,0.0,0.0
30566,509.94276666666667,8.499046111111111,08:29,0,P1000471.MP4,morning,0.0,0.0,0.0
32364,539.9394,8.99899,08:59,0,P1000471.MP4,morning,0.0,0.0,0.0
