video_file,full_path,week,site,shift,analysis_success,timestamp
P1000062.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000062.MP4,week_1,unknown,unknown,True,2025-07-16T14:04:34.862452
P1000063.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000063.MP4,week_1,unknown,unknown,True,2025-07-16T14:04:42.566168
P1000064.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000064.MP4,week_1,unknown,unknown,True,2025-07-16T14:04:50.238231
P1000065.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000065.MP4,week_1,unknown,unknown,True,2025-07-16T14:04:56.961669
P1000066.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000066.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:04.711829
P1000057.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000057.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:12.453936
._P1000057.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/._P1000057.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:15.286087
P1000058.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000058.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:23.036083
P1000059.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000059.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:28.351651
P1000060.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000060.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:35.371725
P1000061.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_1/P1000061.MP4,week_1,unknown,unknown,True,2025-07-16T14:05:42.362904
P1000074.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/afternoon/P1000074.MP4,week_1,site_1,afternoon,True,2025-07-16T14:05:48.220194
._P1000074.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/afternoon/._P1000074.MP4,week_1,site_1,afternoon,True,2025-07-16T14:05:50.038819
P1000352.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/morning/P1000352.MP4,week_1,site_1,morning,True,2025-07-16T14:05:55.679441
._P1000352.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/morning/._P1000352.MP4,week_1,site_1,morning,True,2025-07-16T14:05:57.525914
P1000353.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/morning/P1000353.MP4,week_1,site_1,morning,True,2025-07-16T14:06:03.580591
._P1000353.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/morning/._P1000353.MP4,week_1,site_1,morning,True,2025-07-16T14:06:05.418113
P1000071.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/mid/P1000071.MP4,week_1,site_1,mid,True,2025-07-16T14:06:11.096155
P1000072.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_1/mid/P1000072.MP4,week_1,site_1,mid,True,2025-07-16T14:06:16.719843
P1000070.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/mid/P1000070.MP4,week_1,site_2,mid,True,2025-07-16T14:06:23.021458
._P1000070.MP4,/Volumes/Expansion/summer2025_ncos_kb_collections/birds_beak/week_1/day_2/site_2/mid/._P1000070.MP4,week_1,site_2,mid,True,2025-07-16T14:06:24.838520
