epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2271,3.13865,30.4849,1.20793,0,0,0,0,3.97071,23.7163,1.50941,4e-05,4e-05,4e-05
2,31.4747,4.51548,29.3823,1.41743,0,0,0,0,3.98443,24.0075,1.48029,9.802e-05,9.802e-05,9.802e-05
3,46.4199,4.41468,23.1015,1.59236,0,0,0,0,3.94052,22.5531,1.43578,0.000153664,0.000153664,0.000153664
4,61.3965,4.35871,21.6818,1.60647,0,0,0,0,3.72358,18.3131,1.31973,0.000206932,0.000206932,0.000206932
5,76.28,3.68522,13.5109,1.20218,0.00015,0.07692,0.0001,1e-05,3.09085,13.8457,1.16074,0.000257824,0.000257824,0.000257824
6,91.2999,3.27872,12.8312,1.17753,0.00015,0.07692,0.00011,3e-05,3.05528,12.4977,1.11383,0.00030634,0.00030634,0.00030634
7,106.201,2.77391,10.8596,1.09565,0.00015,0.07692,0.00011,4e-05,2.86364,11.6336,1.04284,0.00035248,0.00035248,0.00035248
8,121.289,2.86851,8.92518,1.06832,0.00015,0.07692,0.00011,4e-05,2.64321,10.9461,1.016,0.000396244,0.000396244,0.000396244
9,136.108,2.71049,10.0656,1.05021,0.00015,0.07692,0.00011,6e-05,2.59167,11.255,1.0184,0.000437632,0.000437632,0.000437632
10,150.836,2.73791,9.72198,0.99325,0.0003,0.15385,0.0002,0.0001,2.53803,11.1743,1.02312,0.000476644,0.000476644,0.000476644
11,165.593,3.23855,10.2656,1.07159,0.0003,0.15385,0.0002,3e-05,2.63869,10.6789,1.03504,0.00051328,0.00051328,0.00051328
12,180.581,2.73024,10.4554,1.09217,0.00015,0.07692,0.00012,1e-05,2.57325,10.5333,1.03124,0.00054754,0.00054754,0.00054754
13,195.332,2.83469,7.89716,1.05186,0,0,0,0,2.60512,11.0483,1.04598,0.000579424,0.000579424,0.000579424
14,210.363,2.97969,7.96331,1.05293,0,0,0,0,2.44994,11.1142,1.02053,0.000608932,0.000608932,0.000608932
15,225.084,2.46272,6.32087,1.0046,0.00015,0.07692,0.00011,5e-05,2.60087,11.4092,1.07565,0.000636064,0.000636064,0.000636064
16,239.854,2.70912,6.11764,1.00789,0.00015,0.07692,0.00011,3e-05,2.78332,11.4473,1.11266,0.00066082,0.00066082,0.00066082
17,254.9,2.37277,6.55247,1.08612,0.00015,0.07692,0.00011,2e-05,3.38729,12.8375,1.27916,0.0006832,0.0006832,0.0006832
18,269.869,2.90095,8.30248,1.1108,0.00015,0.07692,0.00012,2e-05,3.3417,12.6182,1.26552,0.000703204,0.000703204,0.000703204
19,284.772,2.37295,7.28158,1.00847,0.00015,0.07692,0.00017,7e-05,3.02512,11.4301,1.16258,0.000720832,0.000720832,0.000720832
20,299.614,2.85669,10.8256,1.02971,0.00015,0.07692,0.07507,0.03003,2.92425,10.5265,1.13657,0.000736084,0.000736084,0.000736084
21,314.772,2.64607,6.65185,1.05753,0.0003,0.15385,0.07521,0.02255,2.89243,9.98905,1.14764,0.00074896,0.00074896,0.00074896
22,329.706,2.96204,6.44327,1.05095,0.0003,0.15385,0.15513,0.03483,2.89397,9.65612,1.15902,0.00075946,0.00075946,0.00075946
23,344.591,2.94227,6.80076,1.0389,1,0.13981,0.15513,0.0463,3.15871,10.4481,1.22461,0.000767584,0.000767584,0.000767584
24,359.571,2.39448,5.06458,1.03098,0.00537,0.15385,0.15513,0.05781,3.57897,12.8168,1.37946,0.000773332,0.000773332,0.000773332
25,374.414,2.74083,9.20242,0.97055,0.0003,0.15385,0.07522,0.03012,3.82615,14.3775,1.56372,0.000776704,0.000776704,0.000776704
26,389.297,3.0975,8.09605,1.10545,0.0003,0.15385,0.07521,0.03764,3.82556,14.4362,1.71558,0.0007777,0.0007777,0.0007777
27,404.088,2.58019,5.96484,1.11708,0.0003,0.15385,0.07532,0.03016,4.04451,14.7365,1.87827,0.00077632,0.00077632,0.00077632
28,418.955,2.98462,6.40071,1.04746,0.99413,0.15385,0.15513,0.06957,4.13241,13.4222,1.79547,0.000772564,0.000772564,0.000772564
29,433.834,2.80122,6.67003,1.01231,0.99413,0.15385,0.15513,0.06957,4.13241,13.4222,1.79547,0.000766432,0.000766432,0.000766432
